Designator,Mid X,Mid Y,Rotation,Layer
C1,78.845,13.185,0.0,top
C10,79.92,22.11,270.0,top
C11,95.52,21.19,0.0,top
C12,79.12,28.79,180.0,top
C13,89.675,28.79,0.0,top
C14,83.755,33.855,90.0,top
C15,79.075,25.005,180.0,top
C16,79.075,23.955,180.0,top
C2,86.275,35.155,180.0,top
C3,83.075,37.805,90.0,top
C4,78.845,17.985,0.0,top
C5,86.145,20.425,90.0,top
C6,85.115,20.425,270.0,top
C7,82.725,33.855,90.0,top
C8,80.94,22.11,270.0,top
C9,84.095,20.445,270.0,top
R1,90.06,9.9,270.0,top
R10,11.58,28.93,0.0,top
R11,11.54,27.94,0.0,top
R2,87.745,10.675,90.0,top
R3,83.09,22.11,90.0,top
R4,82.01,22.11,90.0,top
R5,84.775,34.705,270.0,top
R6,85.5,10.08,0.0,top
R7,81.685,10.995,90.0,top
R8,10.22,26.22,270.0,top
R9,11.57,29.96,0.0,top
SW1,156.07,57.48,270.0,bottom
SW10,46.59,69.98,180.0,bottom
SW11,28.09,69.98,180.0,bottom
SW12,10.09,57.49,90.0,bottom
SW13,28.08,52.48,180.0,bottom
SW14,46.58,52.48,180.0,bottom
SW15,65.08,44.23,180.0,bottom
SW16,60.57,10.2,0.0,bottom
SW17,105.465,10.19,0.0,bottom
SW18,101.29,38.91,180.0,top
SW19,104.88,28.37,270.0,top
SW2,138.07,69.97,180.0,bottom
SW20,97.73,28.37,90.0,top
SW3,119.57,69.97,180.0,bottom
SW4,101.07,61.72,180.0,bottom
SW5,94.595,76.1875,0.0,top
SW6,80.85,76.1875,0.0,top
SW7,67.105,76.1875,0.0,top
SW8,83.07,49.27,90.0,bottom
SW9,65.09,61.73,180.0,bottom
U1,79.345,15.585,270.0,top
U2,89.755,16.285,0.0,top
U3,84.325,27.955,180.0,top
USB1,82.965005,1.004995,0.0,top
USB2,1.0575,28.69,270.0,top
Y1,85.425,37.805,90.0,top
