Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C1525
"C2, C3",0402,2,30p,C1570
"R1, R5",0402,2,1k,C11702
"R10, R11, R3, R4",0402,4,27,C138021
R2,0402,1,10k,C25744
"R6, R7, R8, R9",0402,4,5.1k,C25905
"SW1, SW12, SW16, SW17, SW8",Hotswap_Choc_V1_1.50u,5,SW_Push,C5333465
"SW10, SW11, SW13, SW14, SW15, SW2, SW3, SW4, SW9",Hotswap_Choc_V1_1.00u,9,SW_Push,C5333465
"SW18, SW19, SW20",SW_SPST_Omron_B3FS-100xP,3,SW_Push,C271750
"SW5, SW6, SW7",SW_Tactile_SPST_Angled_Yuandi_TS-1038-A8B3-D2,3,SW_Push,C499339
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
"USB1, USB2",HRO-TYPE-C-31-M-12-Assembly,2,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
